Ano,Sorotipo,Quantidade
1982,DENV1,2
1982,DENV4,4
1986,DENV1,6
1988,DENV1,2
1989,DENV1,4
1990,DENV1,82
1990,DENV2,33
1991,DENV1,4
1991,DENV2,3
1994,DENV1,1
1994,DENV2,2
1995,DENV2,12
1996,DENV1,7
1996,DENV2,9
1997,DENV1,24
1997,DENV2,7
1998,DENV1,16
1998,DENV2,16
1999,DENV1,14
1999,DENV2,13
1999,DENV3,1
2000,DENV1,23
2000,DENV2,12
2001,DENV1,18
2001,DENV2,23
2001,DENV3,16
2002,DENV1,16
2002,DENV2,10
2002,DENV3,40
2003,DENV1,4
2003,DENV2,4
2003,DENV3,60
2004,DENV1,3
2004,DENV2,2
2004,DENV3,30
2005,DENV1,3
2005,DENV2,2
2005,DENV3,17
2005,DENV4,3
2006,DENV1,3
2006,DENV2,12
2006,DENV3,158
2007,DENV1,30
2007,DENV2,12
2007,DENV3,97
2007,DENV4,1
2008,DENV1,7
2008,DENV2,66
2008,DENV3,11
2008,DENV4,1
2009,DENV1,27
2009,DENV2,9
2009,DENV3,7
2009,DENV4,4
2010,DENV1,26
2010,DENV2,75
2010,DENV3,4
2010,DENV4,11
2011,DENV1,39
2011,DENV2,23
2011,DENV3,4
2011,DENV4,36
2012,DENV1,23
2012,DENV2,5
2012,DENV3,2
2012,DENV4,127
2013,DENV1,60
2013,DENV2,16
2013,DENV3,18
2013,DENV4,456
2014,DENV1,20
2014,DENV2,4
2014,DENV3,3
2014,DENV4,12
2015,DENV1,52
2015,DENV2,3
2015,DENV3,2
2015,DENV4,19
2016,DENV1,27
2016,DENV2,13
2016,DENV4,2
2017,DENV1,5
2017,DENV2,6
2017,DENV3,2
2017,DENV4,1
2018,DENV1,45
2018,DENV2,32
2018,DENV3,2
2019,DENV1,76
2019,DENV2,255
2019,DENV4,1
2020,DENV1,9
2020,DENV2,18
2021,DENV1,178
2021,DENV2,59
2022,DENV1,642
2022,DENV2,184
2023,DENV1,1036
2023,DENV2,330
2023,DENV3,15
2023,DENV4,1
2024,DENV1,82
2024,DENV2,66
2024,DENV3,9
2024,DENV4,1
