Período2,Período,Ano,Tipo,Quantidade
1982-03,Mar 1982,1982,DENV4:II,1
1986-01,Jan 1986,1986,DENV1:V,2
1990-01,Jan 1990,1990,DENV2:III-Asian-American,2
1999-01,Jan 1999,1999,DENV2:III-Asian-American,1
1999-04,Abr 1999,1999,DENV2:III-Asian-American,2
2000-01,Jan 2000,2000,DENV1:V,1
2000-01,Jan 2000,2000,DENV2:III-Asian-American,1
2000-05,Mai 2000,2000,DENV2:III-Asian-American,1
2001-04,Abr 2001,2001,DENV2:III-Asian-American,1
2001-04,Abr 2001,2001,DENV3:desconhecido,1
2001-05,Mai 2001,2001,DENV2:III-Asian-American,1
2001-05,Mai 2001,2001,DENV3:desconhecido,1
2002-02,Fev 2002,2002,DENV3:V,1
2002-02,Fev 2002,2002,DENV3:desconhecido,2
2002-03,Mar 2002,2002,DENV3:V,1
2002-11,Nov 2002,2002,DENV3:V,1
2004-03,Mar 2004,2004,DENV3:III,5
2004-11,Nov 2004,2004,DENV3:III,1
2005-01,Jan 2005,2005,DENV3:III,1
2005-06,Jun 2005,2005,DENV3:III,1
2005-12,Dez 2005,2005,DENV3:V,1
2006-01,Jan 2006,2006,DENV3:III,1
2006-01,Jan 2006,2006,DENV3:V,1
2006-02,Fev 2006,2006,DENV3:desconhecido,1
2006-04,Abr 2006,2006,DENV3:III,1
2006-05,Mai 2006,2006,DENV2:III-Asian-American,1
2007-07,Jul 2007,2007,DENV3:III,1
2007-08,Ago 2007,2007,DENV2:III-Asian-American,1
2007-11,Nov 2007,2007,DENV2:III-Asian-American,1
2007-12,Dez 2007,2007,DENV2:III-Asian-American,1
2008-01,Jan 2008,2008,DENV3:III,1
2008-02,Fev 2008,2008,DENV2:III-Asian-American,3
2008-03,Mar 2008,2008,DENV2:III-Asian-American,6
2008-04,Abr 2008,2008,DENV2:III-Asian-American,5
2008-05,Mai 2008,2008,DENV1:V,1
2008-06,Jun 2008,2008,DENV2:III-Asian-American,1
2008-12,Dez 2008,2008,DENV2:III-Asian-American,1
2009-03,Mar 2009,2009,DENV2:III-Asian-American,1
2009-03,Mar 2009,2009,DENV3:V,1
2009-03,Mar 2009,2009,DENV4:II,1
2009-09,Set 2009,2009,DENV2:III-Asian-American,1
2009-12,Dez 2009,2009,DENV2:III-Asian-American,1
2009-12,Dez 2009,2009,DENV3:III,3
2009-12,Dez 2009,2009,DENV4:II,1
2010-01,Jan 2010,2010,DENV2:III-Asian-American,2
2010-02,Fev 2010,2010,DENV2:III-Asian-American,26
2010-02,Fev 2010,2010,DENV2:desconhecido,2
2010-03,Mar 2010,2010,DENV2:III-Asian-American,18
2010-03,Mar 2010,2010,DENV2:desconhecido,3
