Região,Período2,Período,Ano,Tipo,Quantidade
Centro-oeste,2008-02,Fev 2008,2008,DENV2:III-Asian-American,1
Centro-oeste,2008-03,Mar 2008,2008,DENV2:III-Asian-American,2
Centro-oeste,2012-02,Fev 2012,2012,DENV4:II,5
Centro-oeste,2012-03,Mar 2012,2012,DENV4:II,11
Centro-oeste,2012-04,Abr 2012,2012,DENV4:II,12
Centro-oeste,2012-05,Mai 2012,2012,DENV1:V,1
Centro-oeste,2012-05,Mai 2012,2012,DENV2:IV-AsianII,1
Centro-oeste,2012-05,Mai 2012,2012,DENV4:II,2
Centro-oeste,2012-06,Jun 2012,2012,DENV3:III,1
Centro-oeste,2012-07,Jul 2012,2012,DENV1:V,1
Centro-oeste,2014-09,Set 2014,2014,DENV2:IV-AsianII,2
Centro-oeste,2015-03,Mar 2015,2015,DENV4:II,1
Centro-oeste,2015-04,Abr 2015,2015,DENV1:II,1
Centro-oeste,2015-04,Abr 2015,2015,DENV4:II,2
Centro-oeste,2015-05,Mai 2015,2015,DENV4:II,2
Centro-oeste,2015-06,Jun 2015,2015,DENV1:V,1
Centro-oeste,2015-06,Jun 2015,2015,DENV4:II,1
Centro-oeste,2015-08,Ago 2015,2015,DENV1:V,1
Centro-oeste,2015-09,Set 2015,2015,DENV1:V,1
Centro-oeste,2015-11,Nov 2015,2015,DENV1:V,2
Centro-oeste,2015-12,Dez 2015,2015,DENV1:V,1
Centro-oeste,2015-12,Dez 2015,2015,DENV2:IV-AsianII,1
Centro-oeste,2016-02,Fev 2016,2016,DENV1:III,1
Centro-oeste,2017-02,Fev 2017,2017,DENV2:III-Asian-American,1
Centro-oeste,2017-04,Abr 2017,2017,DENV1:desconhecido,1
Centro-oeste,2018-03,Mar 2018,2018,DENV1:desconhecido,1
Centro-oeste,2018-05,Mai 2018,2018,DENV1:V,1
Centro-oeste,2018-05,Mai 2018,2018,DENV1:desconhecido,1
Centro-oeste,2018-10,Out 2018,2018,DENV2:III-Asian-American,1
Centro-oeste,2018-11,Nov 2018,2018,DENV2:III-Asian-American,3
Centro-oeste,2018-12,Dez 2018,2018,DENV2:III-Asian-American,2
Centro-oeste,2019-01,Jan 2019,2019,DENV2:III-Asian-American,31
Centro-oeste,2019-01,Jan 2019,2019,DENV4:desconhecido,1
Centro-oeste,2019-02,Fev 2019,2019,DENV1:V,3
Centro-oeste,2019-02,Fev 2019,2019,DENV2:III-Asian-American,16
Centro-oeste,2019-03,Mar 2019,2019,DENV2:III-Asian-American,29
Centro-oeste,2019-04,Abr 2019,2019,DENV1:V,3
Centro-oeste,2019-04,Abr 2019,2019,DENV2:III-Asian-American,5
Centro-oeste,2019-05,Mai 2019,2019,DENV2:III-Asian-American,3
Centro-oeste,2019-06,Jun 2019,2019,DENV2:III-Asian-American,1
Centro-oeste,2019-07,Jul 2019,2019,DENV1:V,1
