Estado,UF,Período2,Período,Ano,Tipo,Quantidade
Acre,AC,2004-11,Nov 2004,2004,DENV3:III,1
Acre,AC,2021-02,Fev 2021,2021,DENV2:II-Cosmopolitan,2
Acre,AC,2021-02,Fev 2021,2021,DENV2:desconhecido,2
Acre,AC,2021-03,Mar 2021,2021,DENV2:desconhecido,1
Acre,AC,2022-01,Jan 2022,2022,DENV2:II-Cosmopolitan,4
Acre,AC,2022-02,Fev 2022,2022,DENV2:II-Cosmopolitan,6
Acre,AC,2022-04,Abr 2022,2022,DENV2:II-Cosmopolitan,10
Acre,AC,2022-05,Mai 2022,2022,DENV2:II-Cosmopolitan,4
Acre,AC,2022-06,Jun 2022,2022,DENV2:II-Cosmopolitan,2
Acre,AC,2022-07,Jul 2022,2022,DENV2:II-Cosmopolitan,1
Alagoas,AL,2019-05,Mai 2019,2019,DENV1:V,3
Alagoas,AL,2022-05,Mai 2022,2022,DENV1:V,5
Alagoas,AL,2022-05,Mai 2022,2022,DENV2:III-Asian-American,2
Alagoas,AL,2022-06,Jun 2022,2022,DENV1:V,3
Alagoas,AL,2022-06,Jun 2022,2022,DENV2:III-Asian-American,2
Alagoas,AL,2022-08,Ago 2022,2022,DENV1:V,1
Alagoas,AL,2023-05,Mai 2023,2023,DENV1:V,1
Alagoas,AL,2023-06,Jun 2023,2023,DENV1:V,1
Alagoas,AL,2023-07,Jul 2023,2023,DENV1:V,1
Alagoas,AL,2023-07,Jul 2023,2023,DENV2:II-Cosmopolitan,1
Amapá,AP,2014-07,Jul 2014,2014,DENV1:V,1
Amapá,AP,2014-09,Set 2014,2014,DENV1:V,1
Amapá,AP,2014-10,Out 2014,2014,DENV1:V,2
Amapá,AP,2014-12,Dez 2014,2014,DENV1:V,1
Amapá,AP,2015-02,Fev 2015,2015,DENV1:V,4
Amapá,AP,2015-05,Mai 2015,2015,DENV1:V,1
Amapá,AP,2015-06,Jun 2015,2015,DENV1:V,1
Amapá,AP,2015-07,Jul 2015,2015,DENV1:V,1
Amazonas,AM,2006-04,Abr 2006,2006,DENV3:III,1
Amazonas,AM,2009-12,Dez 2009,2009,DENV3:III,3
Amazonas,AM,2009-12,Dez 2009,2009,DENV4:II,1
Amazonas,AM,2011-01,Jan 2011,2011,DENV1:V,4
