Estado,Ano,Sorotipo,Casos
Acre,2007-06,2.0,1
Acre,2007-06,3.0,1
Acre,2007-06,4.0,1
Acre,2007-06,Sem informação,2355
Acre,2009-06,1.0,10
Acre,2009-06,2.0,7
Acre,2009-06,4.0,5
Acre,2009-06,Sem informação,23050
Acre,2010-06,1.0,57
Acre,2010-06,2.0,22
Acre,2010-06,3.0,1
Acre,2010-06,4.0,2
Acre,2010-06,Sem informação,42136
Acre,2011-06,1.0,20
Acre,2011-06,Sem informação,30627
Acre,2012-06,4.0,2
Acre,2012-06,Sem informação,8605
Acre,2013-06,1.0,3
Acre,2013-06,Sem informação,9429
Acre,2014-06,1.0,4
Acre,2014-06,Sem informação,36795
Acre,2015-06,1.0,4
Acre,2015-06,4.0,1
Acre,2015-06,Sem informação,14326
Acre,2016-06,2.0,22
Acre,2016-06,Sem informação,9225
Acre,2017-06,1.0,1
Acre,2017-06,Sem informação,5282
Acre,2018-06,1.0,1
Acre,2018-06,Sem informação,13016
Acre,2019-06,Sem informação,17215
Acre,2020-06,1.0,1
Acre,2020-06,Sem informação,14679
Acre,2021-06,1.0,29
Acre,2021-06,2.0,66
Acre,2021-06,4.0,1
Acre,2021-06,Sem informação,30690
Acre,2022-06,Sem informação,3610
Acre,2023-06,1.0,64
Acre,2023-06,2.0,122
Acre,2023-06,3.0,1
Acre,2023-06,Sem informação,7561
Acre,2024-06,1.0,45
Acre,2024-06,2.0,29
Acre,2024-06,Sem informação,6351
Alagoas,2007-06,1.0,35
Alagoas,2007-06,2.0,3
Alagoas,2007-06,3.0,11
Alagoas,2007-06,4.0,19
Alagoas,2007-06,Sem informação,12928
Alagoas,2009-06,1.0,2
Alagoas,2009-06,3.0,1
Alagoas,2009-06,Sem informação,6065
Alagoas,2010-06,1.0,52
Alagoas,2010-06,2.0,11
Alagoas,2010-06,Sem informação,54476
Alagoas,2011-06,1.0,11
Alagoas,2011-06,2.0,2
Alagoas,2011-06,Sem informação,11524
Alagoas,2012-06,1.0,9
Alagoas,2012-06,4.0,9
Alagoas,2012-06,Sem informação,33654
Alagoas,2013-06,1.0,8
Alagoas,2013-06,4.0,1
Alagoas,2013-06,Sem informação,15869
Alagoas,2014-06,1.0,4
Alagoas,2014-06,4.0,1
Alagoas,2014-06,Sem informação,16424
Alagoas,2015-06,1.0,8
Alagoas,2015-06,4.0,10
Alagoas,2015-06,Sem informação,33937
Alagoas,2016-06,1.0,1
Alagoas,2016-06,Sem informação,24715
Alagoas,2017-06,Sem informação,3614
Alagoas,2018-06,1.0,3
Alagoas,2018-06,Sem informação,2971
Alagoas,2019-06,1.0,32
Alagoas,2019-06,2.0,2
Alagoas,2019-06,Sem informação,27399
Alagoas,2020-06,1.0,7
Alagoas,2020-06,Sem informação,3632
Alagoas,2021-06,1.0,12
Alagoas,2021-06,Sem informação,9966
Alagoas,2022-06,1.0,45
Alagoas,2022-06,2.0,1
Alagoas,2022-06,Sem informação,33677
Alagoas,2023-06,1.0,28
Alagoas,2023-06,2.0,5
Alagoas,2023-06,Sem informação,4755
Alagoas,2024-06,1.0,34
Alagoas,2024-06,2.0,7
Alagoas,2024-06,4.0,2
Alagoas,2024-06,Sem informação,3254
Amapá,2007-06,1.0,8
Amapá,2007-06,Sem informação,5688
Amapá,2009-06,1.0,1
Amapá,2009-06,Sem informação,3050
Amapá,2010-06,1.0,21
Amapá,2010-06,4.0,5
Amapá,2010-06,Sem informação,4441
Amapá,2011-06,1.0,3
Amapá,2011-06,2.0,1
Amapá,2011-06,4.0,1
Amapá,2011-06,Sem informação,4245
Amapá,2012-06,1.0,3
Amapá,2012-06,4.0,25
Amapá,2012-06,Sem informação,2338
Amapá,2013-06,1.0,10
Amapá,2013-06,4.0,2
Amapá,2013-06,Sem informação,2380
Amapá,2014-06,1.0,3
Amapá,2014-06,Sem informação,2601
Amapá,2015-06,1.0,240
Amapá,2015-06,2.0,1
Amapá,2015-06,Sem informação,4193
