Estado,Período,Sorotipo,Casos,Ano
Acre,2007-01,Sem informacao,268,2007-06
Distrito Federal,2007-01,Sem informacao,166,2007-06
Distrito Federal,2007-01,1.0,4,2007-06
Rio Grande do Sul,2007-01,Sem informacao,35,2007-06
Rio de Janeiro,2007-01,3.0,16,2007-06
Rio de Janeiro,2007-01,4.0,1,2007-06
Rio de Janeiro,2007-01,Sem informacao,2460,2007-06
Ceará,2007-01,Sem informacao,2187,2007-06
Ceará,2007-01,4.0,2,2007-06
Ceará,2007-01,1.0,4,2007-06
Rondônia,2007-01,Sem informacao,342,2007-06
Roraima,2007-01,2.0,13,2007-06
Roraima,2007-01,Sem informacao,356,2007-06
Bahia,2007-01,Sem informacao,872,2007-06
Bahia,2007-01,3.0,7,2007-06
Minas Gerais,2007-01,3.0,1,2007-06
Bahia,2007-01,2.0,1,2007-06
Santa Catarina,2007-01,Sem informacao,39,2007-06
Sergipe,2007-01,1.0,1,2007-06
Sergipe,2007-01,Sem informacao,53,2007-06
Amazonas,2007-01,Sem informacao,80,2007-06
Amazonas,2007-01,1.0,1,2007-06
São Paulo,2007-01,1.0,9,2007-06
São Paulo,2007-01,3.0,17,2007-06
São Paulo,2007-01,4.0,7,2007-06
São Paulo,2007-01,Sem informacao,7455,2007-06
Amapá,2007-01,Sem informacao,566,2007-06
Alagoas,2007-01,Sem informacao,326,2007-06
Alagoas,2007-01,3.0,1,2007-06
Alagoas,2007-01,1.0,2,2007-06
Tocantins,2007-01,1.0,4,2007-06
Bahia,2007-01,1.0,4,2007-06
Tocantins,2007-01,3.0,2,2007-06
Rio Grande do Norte,2007-01,Sem informacao,461,2007-06
Espírito Santo,2007-01,1.0,1,2007-06
Minas Gerais,2007-01,4.0,1,2007-06
Minas Gerais,2007-01,Sem informacao,2332,2007-06
Mato Grosso do Sul,2007-01,Sem informacao,17020,2007-06
Mato Grosso do Sul,2007-01,3.0,12,2007-06
Mato Grosso do Sul,2007-01,1.0,1,2007-06
Paraná,2007-01,1.0,6,2007-06
Paraná,2007-01,3.0,6,2007-06
Paraná,2007-01,4.0,1,2007-06
Paraná,2007-01,Sem informacao,1145,2007-06
Mato Grosso,2007-01,Sem informacao,3148,2007-06
Mato Grosso,2007-01,4.0,3,2007-06
Mato Grosso,2007-01,2.0,1,2007-06
Mato Grosso,2007-01,1.0,12,2007-06
Paraíba,2007-01,3.0,1,2007-06
Rio Grande do Norte,2007-01,4.0,1,2007-06
Paraíba,2007-01,Sem informacao,279,2007-06
Pará,2007-01,2.0,3,2007-06
Pará,2007-01,3.0,24,2007-06
Pará,2007-01,Sem informacao,1098,2007-06
Maranhão,2007-01,Sem informacao,1483,2007-06
Maranhão,2007-01,3.0,1,2007-06
Maranhão,2007-01,2.0,1,2007-06
Maranhão,2007-01,1.0,1,2007-06
Pernambuco,2007-01,1.0,3,2007-06
Pernambuco,2007-01,Sem informacao,1190,2007-06
Goiás,2007-01,Sem informacao,2116,2007-06
Goiás,2007-01,3.0,10,2007-06
Piauí,2007-01,Sem informacao,984,2007-06
Espírito Santo,2007-01,Sem informacao,694,2007-06
Espírito Santo,2007-01,3.0,1,2007-06
Pará,2007-01,1.0,15,2007-06
Tocantins,2007-01,Sem informacao,2184,2007-06
Minas Gerais,2007-01,1.0,2,2007-06
Espírito Santo,2007-02,Sem informacao,1037,2007-06
Goiás,2007-02,1.0,1,2007-06
Espírito Santo,2007-02,3.0,8,2007-06
Espírito Santo,2007-02,1.0,1,2007-06
Pernambuco,2007-02,1.0,22,2007-06
Pernambuco,2007-02,3.0,1,2007-06
Pernambuco,2007-02,Sem informacao,1815,2007-06
Rio Grande do Norte,2007-02,1.0,1,2007-06
Rio Grande do Norte,2007-02,Sem informacao,647,2007-06
Paraná,2007-02,Sem informacao,3452,2007-06
Paraná,2007-02,3.0,17,2007-06
Paraná,2007-02,1.0,6,2007-06
Rio de Janeiro,2007-02,Sem informacao,5438,2007-06
Rio de Janeiro,2007-02,4.0,2,2007-06
Rio de Janeiro,2007-02,3.0,10,2007-06
Rio de Janeiro,2007-02,1.0,3,2007-06
Bahia,2007-02,1.0,5,2007-06
Bahia,2007-02,3.0,3,2007-06
Distrito Federal,2007-02,2.0,1,2007-06
Rio Grande do Sul,2007-02,Sem informacao,36,2007-06
Roraima,2007-02,Sem informacao,183,2007-06
Roraima,2007-02,2.0,3,2007-06
Tocantins,2007-02,Sem informacao,4021,2007-06
Tocantins,2007-02,1.0,9,2007-06
Santa Catarina,2007-02,1.0,2,2007-06
Alagoas,2007-02,1.0,3,2007-06
Alagoas,2007-02,Sem informacao,337,2007-06
Mato Grosso do Sul,2007-02,Sem informacao,25082,2007-06
Mato Grosso do Sul,2007-02,4.0,2,2007-06
Mato Grosso do Sul,2007-02,3.0,20,2007-06
Mato Grosso do Sul,2007-02,1.0,10,2007-06
Bahia,2007-02,Sem informacao,1041,2007-06
Alagoas,2007-02,4.0,1,2007-06
Santa Catarina,2007-02,Sem informacao,64,2007-06
Amapá,2007-02,1.0,4,2007-06
Amapá,2007-02,Sem informacao,801,2007-06
Amazonas,2007-02,3.0,1,2007-06
Amazonas,2007-02,Sem informacao,179,2007-06
Ceará,2007-02,4.0,2,2007-06
Ceará,2007-02,3.0,1,2007-06
Ceará,2007-02,2.0,14,2007-06
Ceará,2007-02,1.0,3,2007-06
Ceará,2007-02,Sem informacao,3355,2007-06
Pará,2007-02,1.0,19,2007-06
Pará,2007-02,3.0,19,2007-06
Pará,2007-02,4.0,2,2007-06
Pará,2007-02,Sem informacao,1976,2007-06
Piauí,2007-02,Sem informacao,1004,2007-06
Piauí,2007-02,1.0,2,2007-06
Goiás,2007-02,Sem informacao,3003,2007-06
Pará,2007-02,2.0,7,2007-06
Distrito Federal,2007-02,3.0,2,2007-06
Maranhão,2007-02,Sem informacao,2642,2007-06
Maranhão,2007-02,2.0,3,2007-06
