Região,Ano,Sorotipo,Casos
Centro-oeste,2007-06,1.0,283
Centro-oeste,2007-06,2.0,5
Centro-oeste,2007-06,3.0,178
Centro-oeste,2007-06,4.0,30
Centro-oeste,2007-06,Sem informação,116953
Centro-oeste,2009-06,1.0,581
Centro-oeste,2009-06,2.0,97
Centro-oeste,2009-06,3.0,48
Centro-oeste,2009-06,4.0,19
Centro-oeste,2009-06,Sem informação,136379
Centro-oeste,2010-06,1.0,1346
Centro-oeste,2010-06,2.0,81
Centro-oeste,2010-06,3.0,20
Centro-oeste,2010-06,4.0,21
Centro-oeste,2010-06,Sem informação,267969
Centro-oeste,2011-06,1.0,385
Centro-oeste,2011-06,2.0,8
Centro-oeste,2011-06,4.0,8
Centro-oeste,2011-06,Sem informação,79039
Centro-oeste,2012-06,1.0,297
Centro-oeste,2012-06,2.0,58
Centro-oeste,2012-06,3.0,1
Centro-oeste,2012-06,4.0,269
Centro-oeste,2012-06,Sem informação,98932
Centro-oeste,2013-06,1.0,635
Centro-oeste,2013-06,2.0,53
Centro-oeste,2013-06,3.0,3
Centro-oeste,2013-06,4.0,430
Centro-oeste,2013-06,Sem informação,333099
Centro-oeste,2014-06,1.0,420
Centro-oeste,2014-06,2.0,6
Centro-oeste,2014-06,4.0,94
Centro-oeste,2014-06,Sem informação,163262
Centro-oeste,2015-06,1.0,1290
Centro-oeste,2015-06,2.0,27
Centro-oeste,2015-06,3.0,4
Centro-oeste,2015-06,4.0,101
Centro-oeste,2015-06,Sem informação,291920
Centro-oeste,2016-06,1.0,560
Centro-oeste,2016-06,2.0,41
Centro-oeste,2016-06,3.0,5
Centro-oeste,2016-06,4.0,32
Centro-oeste,2016-06,Sem informação,272899
Centro-oeste,2017-06,1.0,80
Centro-oeste,2017-06,2.0,174
Centro-oeste,2017-06,3.0,1
Centro-oeste,2017-06,4.0,10
Centro-oeste,2017-06,Sem informação,106942
Centro-oeste,2018-06,1.0,74
Centro-oeste,2018-06,2.0,184
Centro-oeste,2018-06,4.0,7
Centro-oeste,2018-06,Sem informação,135045
Centro-oeste,2019-06,1.0,442
Centro-oeste,2019-06,2.0,1559
Centro-oeste,2019-06,3.0,1
Centro-oeste,2019-06,4.0,21
Centro-oeste,2019-06,Sem informação,298737
Centro-oeste,2020-06,1.0,716
Centro-oeste,2020-06,2.0,1278
Centro-oeste,2020-06,4.0,9
Centro-oeste,2020-06,Sem informação,265850
Centro-oeste,2021-06,1.0,486
Centro-oeste,2021-06,2.0,400
Centro-oeste,2021-06,4.0,8
Centro-oeste,2021-06,Sem informação,168031
Centro-oeste,2022-06,1.0,4531
Centro-oeste,2022-06,2.0,28
Centro-oeste,2022-06,4.0,8
Centro-oeste,2022-06,Sem informação,336772
Centro-oeste,2023-06,1.0,7786
Centro-oeste,2023-06,2.0,876
Centro-oeste,2023-06,3.0,3
Centro-oeste,2023-06,4.0,3
Centro-oeste,2023-06,Sem informação,178050
Centro-oeste,2024-06,1.0,3342
Centro-oeste,2024-06,2.0,10422
Centro-oeste,2024-06,3.0,6
Centro-oeste,2024-06,4.0,5
Centro-oeste,2024-06,Sem informação,371555
Nordeste,2007-06,1.0,716
Nordeste,2007-06,2.0,204
Nordeste,2007-06,3.0,71
Nordeste,2007-06,4.0,47
Nordeste,2007-06,Sem informação,174489
Nordeste,2009-06,1.0,189
Nordeste,2009-06,2.0,116
Nordeste,2009-06,3.0,11
Nordeste,2009-06,4.0,25
Nordeste,2009-06,Sem informação,177497
Nordeste,2010-06,1.0,935
Nordeste,2010-06,2.0,260
Nordeste,2010-06,3.0,14
Nordeste,2010-06,4.0,89
Nordeste,2010-06,Sem informação,245579
Nordeste,2011-06,1.0,1064
Nordeste,2011-06,2.0,82
Nordeste,2011-06,3.0,7
Nordeste,2011-06,4.0,150
Nordeste,2011-06,Sem informação,281515
Nordeste,2012-06,1.0,421
Nordeste,2012-06,2.0,21
Nordeste,2012-06,3.0,12
Nordeste,2012-06,4.0,567
Nordeste,2012-06,Sem informação,325413
Nordeste,2013-06,1.0,404
Nordeste,2013-06,2.0,20
Nordeste,2013-06,3.0,19
Nordeste,2013-06,4.0,255
Nordeste,2013-06,Sem informação,233549
Nordeste,2014-06,1.0,213
Nordeste,2014-06,2.0,8
Nordeste,2014-06,3.0,8
Nordeste,2014-06,4.0,341
Nordeste,2014-06,Sem informação,141833
Nordeste,2015-06,1.0,667
Nordeste,2015-06,2.0,10
Nordeste,2015-06,3.0,12
Nordeste,2015-06,4.0,22
Nordeste,2015-06,Sem informação,485454
Nordeste,2016-06,1.0,185
Nordeste,2016-06,2.0,5
Nordeste,2016-06,3.0,5
Nordeste,2016-06,4.0,14
Nordeste,2016-06,Sem informação,483248
Nordeste,2017-06,1.0,48
Nordeste,2017-06,2.0,6
Nordeste,2017-06,4.0,7
Nordeste,2017-06,Sem informação,150850
Nordeste,2018-06,1.0,138
Nordeste,2018-06,2.0,16
Nordeste,2018-06,3.0,3
Nordeste,2018-06,4.0,1
Nordeste,2018-06,Sem informação,104589
Nordeste,2019-06,1.0,985
Nordeste,2019-06,2.0,274
Nordeste,2019-06,3.0,2
Nordeste,2019-06,4.0,5
Nordeste,2019-06,Sem informação,297317
Nordeste,2020-06,1.0,279
Nordeste,2020-06,2.0,87
Nordeste,2020-06,4.0,5
Nordeste,2020-06,Sem informação,221027
Nordeste,2021-06,1.0,110
Nordeste,2021-06,2.0,388
Nordeste,2021-06,3.0,3
Nordeste,2021-06,4.0,1
Nordeste,2021-06,Sem informação,217150
Nordeste,2022-06,1.0,858
Nordeste,2022-06,2.0,1120
Nordeste,2022-06,3.0,3
Nordeste,2022-06,4.0,5
Nordeste,2022-06,Sem informação,241210
Nordeste,2023-06,1.0,1417
Nordeste,2023-06,2.0,1439
Nordeste,2023-06,3.0,6
Nordeste,2023-06,4.0,2
Nordeste,2023-06,Sem informação,101989
Nordeste,2024-06,1.0,885
Nordeste,2024-06,2.0,1074
Nordeste,2024-06,3.0,3
Nordeste,2024-06,4.0,6
Nordeste,2024-06,Sem informação,173967
Norte,2007-06,1.0,248
Norte,2007-06,2.0,121
Norte,2007-06,3.0,180
Norte,2007-06,4.0,8
Norte,2007-06,Sem informação,62089
Norte,2009-06,1.0,346
Norte,2009-06,2.0,35
Norte,2009-06,3.0,1
Norte,2009-06,4.0,13
Norte,2009-06,Sem informação,81885
Norte,2010-06,1.0,1020
Norte,2010-06,2.0,135
Norte,2010-06,3.0,3
Norte,2010-06,4.0,63
Norte,2010-06,Sem informação,134398
Norte,2011-06,1.0,357
Norte,2011-06,2.0,160
Norte,2011-06,3.0,22
Norte,2011-06,4.0,132
Norte,2011-06,Sem informação,164705
Norte,2012-06,1.0,154
Norte,2012-06,2.0,10
Norte,2012-06,3.0,6
Norte,2012-06,4.0,231
Norte,2012-06,Sem informação,82290
Norte,2013-06,1.0,110
Norte,2013-06,2.0,3
Norte,2013-06,3.0,5
Norte,2013-06,4.0,108
Norte,2013-06,Sem informação,91982
Norte,2014-06,1.0,68
Norte,2014-06,2.0,3
Norte,2014-06,3.0,3
Norte,2014-06,4.0,68
Norte,2014-06,Sem informação,77672
Norte,2015-06,1.0,302
Norte,2015-06,2.0,5
Norte,2015-06,3.0,1
Norte,2015-06,4.0,42
Norte,2015-06,Sem informação,71189
Norte,2016-06,1.0,100
Norte,2016-06,2.0,24
