Região,Período,Sorotipo,Casos,Ano
Centro-oeste,2007-01,1.0,17,2007-06
Sul,2007-01,3.0,6,2007-06
Sul,2007-01,1.0,6,2007-06
Norte,2007-01,2.0,16,2007-06
Nordeste,2007-01,1.0,15,2007-06
Nordeste,2007-01,2.0,2,2007-06
Nordeste,2007-01,3.0,10,2007-06
Sul,2007-01,4.0,1,2007-06
Nordeste,2007-01,4.0,3,2007-06
Sudeste,2007-01,Sem informacao,12941,2007-06
Sudeste,2007-01,4.0,9,2007-06
Sudeste,2007-01,3.0,35,2007-06
Sudeste,2007-01,1.0,12,2007-06
Norte,2007-01,Sem informacao,4894,2007-06
Norte,2007-01,3.0,26,2007-06
Nordeste,2007-01,Sem informacao,7835,2007-06
Sul,2007-01,Sem informacao,1219,2007-06
Norte,2007-01,1.0,20,2007-06
Centro-oeste,2007-01,4.0,3,2007-06
Centro-oeste,2007-01,Sem informacao,22450,2007-06
Centro-oeste,2007-01,2.0,1,2007-06
Centro-oeste,2007-01,3.0,22,2007-06
Norte,2007-02,1.0,33,2007-06
Norte,2007-02,2.0,10,2007-06
Norte,2007-02,3.0,20,2007-06
Norte,2007-02,4.0,2,2007-06
Norte,2007-02,Sem informacao,7994,2007-06
Nordeste,2007-02,Sem informacao,11765,2007-06
Nordeste,2007-02,4.0,4,2007-06
Nordeste,2007-02,2.0,17,2007-06
Nordeste,2007-02,1.0,41,2007-06
Centro-oeste,2007-02,3.0,31,2007-06
Nordeste,2007-02,3.0,5,2007-06
Centro-oeste,2007-02,Sem informacao,32398,2007-06
Centro-oeste,2007-02,1.0,28,2007-06
Centro-oeste,2007-02,2.0,1,2007-06
Sudeste,2007-02,1.0,47,2007-06
Sudeste,2007-02,2.0,1,2007-06
Sul,2007-02,1.0,8,2007-06
Sul,2007-02,3.0,17,2007-06
Sul,2007-02,Sem informacao,3552,2007-06
Centro-oeste,2007-02,4.0,5,2007-06
Sudeste,2007-02,3.0,69,2007-06
Sudeste,2007-02,4.0,7,2007-06
Sudeste,2007-02,Sem informacao,29572,2007-06
Norte,2007-03,2.0,16,2007-06
Norte,2007-03,3.0,69,2007-06
Norte,2007-03,4.0,2,2007-06
Sudeste,2007-03,4.0,33,2007-06
Sudeste,2007-03,1.0,132,2007-06
Sudeste,2007-03,2.0,1,2007-06
Norte,2007-03,Sem informacao,11093,2007-06
Sudeste,2007-03,3.0,153,2007-06
Norte,2007-03,1.0,42,2007-06
Sudeste,2007-03,Sem informacao,71946,2007-06
Centro-oeste,2007-03,4.0,8,2007-06
Nordeste,2007-03,4.0,8,2007-06
Centro-oeste,2007-03,Sem informacao,29142,2007-06
Centro-oeste,2007-03,3.0,94,2007-06
Sul,2007-03,1.0,44,2007-06
Sul,2007-03,Sem informacao,13083,2007-06
Sul,2007-03,3.0,18,2007-06
Sul,2007-03,4.0,1,2007-06
Centro-oeste,2007-03,2.0,1,2007-06
Centro-oeste,2007-03,1.0,88,2007-06
Nordeste,2007-03,1.0,105,2007-06
Nordeste,2007-03,Sem informacao,20999,2007-06
Nordeste,2007-03,2.0,11,2007-06
Nordeste,2007-03,3.0,6,2007-06
Centro-oeste,2007-04,4.0,2,2007-06
Centro-oeste,2007-04,1.0,41,2007-06
Centro-oeste,2007-04,3.0,11,2007-06
Sudeste,2007-04,3.0,97,2007-06
Nordeste,2007-04,1.0,88,2007-06
Nordeste,2007-04,2.0,6,2007-06
Nordeste,2007-04,3.0,6,2007-06
Nordeste,2007-04,4.0,7,2007-06
Nordeste,2007-04,Sem informacao,27242,2007-06
Sul,2007-04,1.0,21,2007-06
Sul,2007-04,4.0,3,2007-06
Sul,2007-04,Sem informacao,17035,2007-06
Sudeste,2007-04,1.0,114,2007-06
Sudeste,2007-04,2.0,6,2007-06
Sudeste,2007-04,4.0,43,2007-06
Sul,2007-04,3.0,14,2007-06
Centro-oeste,2007-04,Sem informacao,13630,2007-06
Sudeste,2007-04,Sem informacao,81829,2007-06
Norte,2007-04,2.0,14,2007-06
Norte,2007-04,3.0,14,2007-06
Norte,2007-04,4.0,1,2007-06
Norte,2007-04,1.0,25,2007-06
Norte,2007-04,Sem informacao,8535,2007-06
Norte,2007-05,1.0,14,2007-06
Norte,2007-05,2.0,3,2007-06
Norte,2007-05,3.0,11,2007-06
Norte,2007-05,4.0,1,2007-06
Sudeste,2007-05,1.0,68,2007-06
Sudeste,2007-05,2.0,5,2007-06
Sudeste,2007-05,3.0,76,2007-06
Sudeste,2007-05,4.0,15,2007-06
Sudeste,2007-05,Sem informacao,53560,2007-06
Sul,2007-05,Sem informacao,9134,2007-06
Sul,2007-05,4.0,2,2007-06
Sul,2007-05,1.0,7,2007-06
Sul,2007-05,3.0,2,2007-06
Nordeste,2007-05,3.0,14,2007-06
Centro-oeste,2007-05,1.0,33,2007-06
Centro-oeste,2007-05,3.0,5,2007-06
Centro-oeste,2007-05,4.0,2,2007-06
Centro-oeste,2007-05,Sem informacao,6310,2007-06
Nordeste,2007-05,1.0,198,2007-06
Nordeste,2007-05,2.0,15,2007-06
Nordeste,2007-05,4.0,13,2007-06
Norte,2007-05,Sem informacao,5333,2007-06
Nordeste,2007-05,Sem informacao,29823,2007-06
Sudeste,2007-06,2.0,3,2007-06
Norte,2007-06,1.0,13,2007-06
Nordeste,2007-06,3.0,10,2007-06
Nordeste,2007-06,2.0,112,2007-06
Nordeste,2007-06,1.0,145,2007-06
Centro-oeste,2007-06,1.0,25,2007-06
Centro-oeste,2007-06,3.0,1,2007-06
Centro-oeste,2007-06,4.0,4,2007-06
Centro-oeste,2007-06,Sem informacao,2542,2007-06
Sudeste,2007-06,Sem informacao,15102,2007-06
Sul,2007-06,Sem informacao,1947,2007-06
Nordeste,2007-06,4.0,4,2007-06
Sudeste,2007-06,4.0,4,2007-06
Sudeste,2007-06,1.0,15,2007-06
Sudeste,2007-06,3.0,6,2007-06
Nordeste,2007-06,Sem informacao,22611,2007-06
Norte,2007-06,2.0,9,2007-06
Norte,2007-06,3.0,5,2007-06
Norte,2007-06,Sem informacao,2956,2007-06
Centro-oeste,2007-07,Sem informacao,1523,2007-06
Sudeste,2007-07,Sem informacao,8264,2007-06
Sudeste,2007-07,1.0,11,2007-06
Centro-oeste,2007-07,4.0,3,2007-06
Sul,2007-07,Sem informacao,1003,2007-06
